"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"SSX2IP",331.897670040326,753.834907798551,780.949098126217,442.347765377777,97.2726296850616,184.441938047208,140.21069915914,141.466746008878,99.0526784790215,163.177429043333,316.729457834678,236.481783379935,69.0220346032808,109.71514734162,336.41038504767,186.890274597528,72.9033362883818
"SLPI",101.96129396568,123.419872794712,89.5813853407107,81.7246372950679,127.655078843578,130.462141260115,357.06674518504,80.3896697499914,67.6830356382283,60.8842379117676,487.212236873521,167.631377465774,75.6581517291765,61.7073999976747,68.469553217583,70.095260632693,77.6594619553533
"RNASEH2A",106.595332958827,123.892347202405,132.059051279442,160.876212235522,104.136333812377,108.564315253776,143.360869723314,124.611922983106,111.72137831504,154.846176053634,173.110690190203,265.890274596805,122.831658111662,164.58623048417,97.2917461758289,167.946375578125,297.060702660146
"NAA10",106.388110414376,205.726892102401,190.421435218516,240.332755296817,141.482558578305,146.39879622218,167.457625143263,159.455321618034,133.713844504198,159.455321618034,133.861849165065,167.859414552386,135.596185694643,149.650704539814,149.168932108464,156.417853977602,204.431023618245
"ZBTB5",118.819572417904,189.650078121364,181.336832934018,244.346098751931,230.389075371802,279.497459133338,234.508924235839,251.443023963326,282.443902624844,237.524199430535,269.692260221199,315.864185323468,260.243215773276,366.066726148033,200.870374760489,225.125568714452,304.332288802834
"MVD",91.1226939585589,79.8336320752741,83.0365811358537,95.7797590791261,88.7308146933079,96.0468112952752,70.7058828463197,98.561943032882,89.1528964051769,106.480629726074,64.2223484041016,68.7929968283465,97.4186974420429,107.534071516709,101.506239429042,82.2845910693014,146.419690555259
"PTPRN2",176.049147965328,344.654980479158,449.882899462668,312.74245977821,351.961942762028,235.772627537981,356.448098492414,258.74010146544,295.062704345798,469.125568714452,301.310338432031,165.479363599026,348.331451067393,501.230197095147,393.702574307218,469.400083157694,574.360862832099
"PIAS3",86.6246190189374,154.771935067242,139.34810355757,191.884342027773,120.890556454959,133.680148097098,130.897958175459,128.619594991444,185.244419274391,127.346691340935,189.956771480267,130.897958175459,106.96340302214,124.618834439189,116.523917400957,120.264126796127,164.279135825847
"HMBS",169.499039585301,199.817436680586,221.8815106225,289.192073214803,245.863601945948,202.130191693277,251.654980479158,243.08687748546,268.01149806825,251.654980479158,258.564208335019,200.536806303115,307.761418044312,282.120782039918,251.654980479158,251.654980479158,363.24250017333
"CHSY1",88.5308899326841,322.125568714452,496.653251056641,311.736784395019,179.949098129809,192.239093053268,257.088850019518,209.739311371992,238.270926930309,275.71380400857,650.906915908898,676.165278091183,281.135662848549,209.576576320423,178.119871674979,364.974092740636,215.705615621244
"NINJ1",122.14065638539,194.919850180308,178.243215779016,261.575580168645,303.299980768401,294.910302562635,381.567753094228,282.405784595559,236.752853520137,291.906517160798,335.446752436897,427.982048361764,159.812757024172,304.912727932564,279.125568714452,277.220659758477,274.302039302687
"STK10",36.1772586286661,70.0124927706972,74.4588018446581,84.7993255207798,69.2909426139582,64.5372135651758,76.4306164234531,70.0124927706972,70.0124927706972,70.0124927706972,60.5368340012618,54.840438155988,88.3141138801658,113.051984552418,65.283722768363,62.0647348114063,96.5928404365264
"BAHD1",142.158307420353,165.890274694544,149.772629761017,167.223714824493,145.3021428976,139.894329230346,120.635229140273,138.296971517402,172.699414511379,166.635402445995,135.517178707907,147.192561797202,124.414109005745,199.41968636154,147.751289041477,131.429537336518,175.338898381143
"BCAS2",314.624378614308,890.011036498123,1003.16909324529,727.595521380462,335.787719800502,351.903753027147,373.93767285071,435.675327553692,414.035099226164,308.758136636751,392.020682561204,598.949098126217,257.732571919414,275.764448134088,380.191331792676,348.908057077647,124.228703501458
"TCTA",209.740928396378,362.389795019619,402.593314683981,384.633848961579,207.592522286721,204.909090472419,223.949098126217,214.949098126217,229.184392243864,249.259206163451,193.296751326958,169.695121471053,338.140129656663,306.011217500732,376.367345886832,230.010040347467,417.974158408616
"MDC1",139.54616285967,89.0818967342621,80.2855238421586,102.775925449744,107.214499413594,137.585430784889,124.883455000097,99.2765669820804,118.659549960816,150.143705698133,112.169983677029,121.163409775335,111.140932986962,142.612611235254,118.659549960816,113.185229097102,122.740177966979
"PPM1F",172.651649113573,129.805556473668,134.01266571553,224.174247832863,153.570867666728,148.914199428361,157.256927332985,129.53741248226,153.949099142594,171.47386173113,147.062760649484,116.758353541603,168.826234896865,170.534379305537,162.081091026821,132.158864041725,198.19158097649
"CAV1",80.7465520869524,268.521346072754,323.82140905316,174.468300579101,112.608248703503,94.0132162541635,119.71270815636,101.014935737968,219.275199980726,98.0407473343409,1494.61481718026,96.133212023521,114.652062564642,57.3133016353775,75.0622045691545,108.801993588056,124.840284316012
"PDHX",202.713804008582,560.157552614345,552.548109813061,469.033612733635,281.69986909534,277.737079645871,269.64134706095,296.624924581334,303.830483305749,285.728090964721,491.817706819783,234.532295800602,320.578662295092,311.675839282916,336.419686361511,335.231648992117,272.182875659232
