"","GSM506013","GSM506014","GSM506019","GSM506020","GSM506023","GSM506015","GSM506016","GSM506017","GSM506018","GSM506021","GSM506022"
"DIABLO",309.838502772978,277.527557425228,339.755646076902,478.248309703894,341.138591577289,338.742356312336,264.195879461624,290.720465158853,210.768579433279,280.804136710164,316.820407391058
"TRAPPC2",60.6343259408138,61.412509987826,82.6231945670544,71.2104148980261,71.6921474010743,88.9754210247062,80.848949998693,75.7497687187369,66.5166001611212,38.6726808658931,48.1219724076924
"HERC6",84.9188107714854,56.4401895479403,52.0127474030604,38.9878323733072,79.9073175721584,87.6325421626038,43.3232695955266,48.4607095617748,66.7105008663359,39.294313686646,41.2885737466028
"NHLRC2",26.0879051068117,29.744401951725,50.2896497199791,26.4624154027218,36.5160950302844,39.369014384604,36.5781846705522,33.8002683899624,40.708268079385,56.9978148521728,29.5351779616425
"KLHL26",56.1474990650496,73.1148797977337,102.036237063678,110.183607453921,75.9298382945942,41.9297218883189,80.9970905257353,104.423772305529,36.4813954613102,75.0866888677701,90.6518997833096
"ADAP2",68.787217044878,67.9680673160765,133.402745348422,131.713466513501,58.725509880587,98.7029588938679,61.055437932438,68.6147029539766,109.570872355039,87.5591088399175,72.7090384118009
"PGGHG",55.9997833509262,46.8762612385813,28.3950214863247,105.917201963564,58.3280518334779,39.9142859641302,40.4036178537905,42.8804325702012,47.9234133075792,30.6762245230418,31.7872870121137
"TRPM4",4.34013444227281,8.65796851538028,4.76396502740562,8.51280111398518,2.63518590534878,5.14895019682321,8.22851504254641,4.40933986121632,3.18553381052435,3.77975112073762,4.81358671386502
"AEN",22.7760221726625,62.9232791144138,20.2400151109224,28.9674942797921,18.4118266470435,21.411800405988,36.7895022038419,22.9634696930576,43.5467317763127,21.5053874078637,20.0842080296818
"MTERF3",63.4170078321021,51.453552697907,60.4352756640189,45.0512172255335,80.9436173513249,77.6941969591701,47.9473146279828,73.4309355869069,61.969431676239,75.1161473492815,16.2751312066888
"DHX58",5.3914484478465,7.74983695974704,7.36254962844432,7.00253980012747,22.5363289683485,12.3357909325505,11.7751169500568,5.07875430558231,8.24139342565493,5.05030857131398,9.29613009320791
"CAMKV",110.579273868812,172.971980839149,138.004451658563,68.6905728369928,174.966107385289,129.049416357569,172.472487464242,188.839784874914,111.265875210709,33.5667525948075,250.513189574215
"AVEN",79.8193504448432,78.19774703511,85.476634739342,57.0234206616313,41.3245061574659,52.3545888448878,36.1208862214826,59.2061421501219,54.4545257902421,75.1492081131407,32.8613886592342
"NAP1L2",226.99103512863,205.584352457338,180.699192659223,180.699192659223,189.105122495423,159.846149711762,196.108976716373,122.325358720896,110.319131316586,93.7179499082184,77.8088909133903
"OTUB2",5.21203311931272,20.1867458143018,7.20852414934502,6.73317106640034,27.1796766588052,24.8990107618247,32.6797933128198,7.64830177510188,8.90920612872045,15.1369413807721,6.64455194187084
"RPRM",56.1557573451509,156.489322053524,171.16879489131,71.5391417645472,98.2080309065735,104.926058396936,47.050401170236,62.2339929974472,77.6575045614984,77.6768893436159,113.243415538314
"KLF2",127.937311166937,151.509287760096,85.6679584826787,193.149542880138,97.2187782993224,89.0322839988328,146.671820643554,230.477966356179,151.393261824249,188.870887595569,149.340227637312
"IFT81",49.6054708054594,38.8825244687824,49.4776965954028,55.2662364291989,42.2664803065508,45.3999484619376,30.5942307729473,29.8735445538162,32.1081080435783,32.1783434366123,30.8595564788581
"DPM3",104.656440204419,107.710633472047,91.0976561656863,75.7641778026625,95.0697464339,125.50514423118,105.830555150787,74.2669159486831,88.2177438056161,63.205371501332,108.625660907257
"ALG9",39.6656977356734,68.2129702436861,67.0637987913484,95.1337851298582,58.0616463736291,73.667761407969,52.89950213306,92.6997570270685,41.9439014485612,56.2986686554812,36.0657603138439
"CEPT1",116.213781192829,83.5301825868149,164.517960771161,113.812590880913,109.354088750952,120.853435276963,135.477901586459,125.479882715908,94.7177013664192,201.303740412876,115.27393447158
"ZNF322",48.7035636954251,46.7880398315762,39.9106280244026,28.2652349794755,36.4901543881394,54.646506400171,55.0602130494791,36.165129883451,52.1418048579749,56.363630321573,62.7125108390109
"GAREM1",11.1320824464305,39.5437287437547,27.2185847001946,8.42444149834538,24.590912925424,15.3287752087834,52.6356675242674,29.3990363238382,48.467150442493,43.4159547595576,33.0081125470553
"ZNF358",98.7181535439946,92.5500260259765,115.556034414618,9.35976162635755,99.0423903857699,68.1437057900035,123.427477755838,80.6316794747108,114.009471622501,84.753944726878,99.9894684741184
"POLH",2.65427557052931,12.0319429536286,1.79244518668623,5.60480248939005,15.5609833590941,4.90051207829724,12.2861222628783,9.69496788244695,10.5521676887991,2.24415404699882,31.2535036355921
"CPLANE1",24.5871958699632,15.2327403084937,22.4552982020901,7.38025443201632,7.16539702265475,26.4679631871566,5.98734992137444,19.7029099297687,26.0261784972699,8.02134458392964,2.07849045197906
"SERTAD3",46.4964807431683,42.2558121248408,49.7300047658984,30.7377567341725,53.2964773477125,41.057371782542,54.9133811015214,45.2509369499374,67.3115749160085,43.4979936514772,28.2652349794755
"PRR5L",59.7315930394275,59.3737822761215,81.7425325857652,39.8012325390642,74.2127712758556,39.6656977356734,41.561992943038,41.6789106765862,57.1742679531025,161.771700931132,39.9057085061417
"ADAT1",51.2190259219114,45.2453903711851,7.99097759032594,13.7794491607527,9.49758271140874,8.68099509838337,131.301804851928,59.1369546644222,61.0698185745092,39.5960827960312,32.5245198065202
"SLAMF8",46.1127483245528,25.8022140864887,63.2886528740551,115.798001299789,27.4309888207083,7.94951676519205,48.0519297710258,56.7254171138221,57.5528305508414,74.3029757769741,11.0127977647601
"GRHL2",15.4524609247969,29.079164335754,27.7421339398233,9.10748310294788,45.1074431399209,29.8306804255968,30.6629833937168,31.7745874374328,53.8252292399867,22.7380420846967,7.24024408891154
"SUSD4",77.010110090862,63.2599724863013,43.5978349965346,44.1696854886361,79.9570760837252,35.9470947111788,35.4299807456034,42.4409375750276,19.4538134544245,10.4856120929979,43.7207466484698
"FKBP14",16.2423814522777,21.576849530525,17.527650079126,10.1106891885899,15.2741533624274,16.0692267178379,21.4483744154585,14.2615293880247,14.7183840907702,23.6481891705533,3.21373063538798
"BPNT1",14.2274403040789,13.1973954073259,9.67903778651812,22.0614406583282,11.69021924182,29.2923001119339,6.54371904489655,29.0454303845042,14.3626119776701,7.55786323169799,11.5273836366215
"PRR11",52.423976634625,46.9222567738083,50.2743825320311,9.71758870049641,33.391730590375,19.298555496689,90.9896315177304,19.9038607957419,45.81237384339,66.3425602670511,52.1514859067179
"PGS1",112.883664738711,103.436643835636,175.037676474483,75.813825157044,109.442118640771,107.940821174104,91.9675080775951,111.822348197017,53.1672437608636,116.234364787012,113.952777989135
"COQ10B",174.032634164845,184.692634462364,289.832613647718,285.258250875385,167.345149573065,229.617233203356,176.570785269572,348.698113687591,118.453868767222,204.323275442175,184.651630977479
