"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"SHROOM2",99.344696,93.31895,84.02527,84.78784,98.21221,108.14997,89.84762,95.87754,82.907104,88.09943,84.39634,152.12492,136.86139,103.58068,105.500404,118.14409,107.91291,116.466995,113.17775,116.213585
"C6orf47",87.90757,88.15671,111.684265,95.5992,102.99346,114.32073,90.25731,105.204865,129.1363,107.77869,106.14366,112.13181,123.18236,97.40949,99.405594,84.33917,103.83501,127.36128,109.86393,88.549736
"CSTA",40.25717,39.254715,33.370827,46.28042,31.926027,39.708187,46.07388,47.063595,41.284225,44.351273,916.9295,439.93082,722.4845,628.9548,647.35364,504.19943,838.90674,591.01855,663.8774,582.3969
"GJB1",103.584236,79.00127,129.52939,163.79117,118.039345,110.06633,115.534195,113.98635,113.76926,103.567245,83.66069,69.14614,72.29614,72.76082,79.26174,65.48102,84.73494,69.925026,58.216812,68.24284
"RAB3A",50.40312,47.57471,42.357834,69.284004,53.455112,55.812317,60.393417,55.715157,70.68885,63.83277,61.10296,96.934006,93.846664,78.845764,78.76129,80.359924,75.52235,91.09469,76.94119,59.00473
"DDX10",186.56172,209.25928,185.89723,144.23248,158.56325,163.08635,173.12926,182.82832,167.97162,194.13748,165.49281,175.09238,179.21603,129.96376,137.37445,153.11926,169.30228,172.39476,149.82996,190.51857
"CLASRP",210.07059,214.11664,200.82674,211.78947,236.50607,218.09164,215.20161,247.52174,231.525,207.99895,184.53766,185.3064,276.49463,237.3389,233.02264,269.93488,218.7601,248.3948,198.21577,171.85274
"SH3BGR",131.13063,149.5796,211.57973,64.167,104.66826,61.131985,149.76366,143.61497,95.335625,104.71848,74.156,79.30669,65.39627,60.582428,56.091763,54.024418,66.28439,67.14643,66.33562,74.938126
"SLC22A18",159.61914,143.0353,152.03835,147.15985,169.67291,138.74506,152.09708,167.53079,137.87793,146.13669,117.395294,116.96884,106.89748,121.45622,121.50453,114.57024,122.035,114.50732,126.43223,155.1268
"TRAPPC6A",222.52603,201.96713,296.38364,220.49352,217.83545,215.18817,246.55087,295.62415,287.19473,338.71097,154.0605,153.51425,146.06528,155.5312,133.66028,161.17258,171.79399,145.74565,173.64516,153.88275
"ITIH2",51.249756,41.865986,47.102875,40.580284,43.10642,40.24373,68.26344,61.52197,47.58304,38.415367,35.06333,29.63268,37.516727,44.228184,34.11671,42.27345,33.377647,41.254765,37.259937,44.455795
