"","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228"
"NEUROG2",13.1606002311584,9.53195236424966,12.7672809469138,9.70748442167362,9.56779281851511,8.51584763646237,7.93009937979344,13.5283089625795,8.19474331231701,10.077439088473,9.17464244593716,9.76099541939951,8.83545069519344,10.9424650297598
"TMEM238L",26.6421877603919,32.3943780201568,19.8312121049713,17.8656962744548,17.9599692025516,22.6957093132815,26.2180193596024,24.1397504802678,23.6853508307433,21.2004274481773,18.1437749718027,24.6728037664631,20.8023349437154,25.8512577537299
"AHCYL2",52.6012941352371,38.2805615805826,40.9248199762952,78.8808073889904,48.5562512850643,56.6273246829782,80.4131616996264,39.2659088075307,35.3100574013498,30.5676732286848,38.7982759251526,31.275650583683,38.3935006700626,48.534748860615
"LUNAR1",16.1867700808296,15.6040005733435,13.2502654489841,11.5982956319201,13.7171099694388,13.0857433732379,15.2523414028541,14.605131587245,12.6158575908356,14.1294843810833,12.2854599801079,12.8986767782172,15.5370985940904,16.5958091404021
"ASCC2",62.1157844200728,53.6022851936523,64.5850174912201,52.5447393971309,87.9837999170476,89.1941801936025,55.8996263782025,74.7171338211585,64.4005954262058,73.5788703504983,62.4743145839159,68.5563149438816,64.1184438603428,62.6617741376946
"PLCB1",11.249177284944,10.9255934662523,9.77025645187699,8.388308243429,9.39809308412576,10.0326034598554,10.9704559289272,10.4189872296728,11.592885364103,10.0552375250083,8.00324549570191,8.30260254003171,9.77025645187699,9.31034621742888
"SHBG",24.0935605488737,21.2807734776343,30.1139326837141,23.3559126578724,19.5021442450514,24.3230852059834,22.3596699164305,26.872389735454,20.3510109976753,28.3224854001142,30.0302380719911,23.6598048752806,22.392686856603,24.97201700099
"DDX27",116.470966087669,174.529684323138,191.57916767207,167.566504915567,208.095106915483,195.93444061418,276.466207580396,156.798700716126,159.077297757037,165.987661629586,148.9559200162,188.005869185608,227.181588096034,168.491949407213
"SEC16A",178.553186266368,157.552450216267,169.226709934865,174.75992917567,208.895192172601,258.62286725653,213.883856947526,185.68132800539,251.46639119245,210.179956145303,154.527528581571,175.239581583121,243.829875848617,172.401069479189
"FLG",8.31040907685822,13.7413881061535,7.72362328680659,6.99258279484614,7.14590669381814,7.77059477779228,8.00780764350116,7.79523749407783,8.08078002264486,7.37730823071365,7.15344979184929,7.39213572547446,7.55841548879042,8.32415557728551
"ZYX",80.918458863961,58.5313009812232,88.4175979404892,103.320923836147,132.820859678251,100.494659654542,270.683453425508,88.6476622502092,79.6703007054815,109.817196734488,97.3467900031883,130.690389427541,126.231547615769,97.6418865209626
"IGFALS",48.0636756948042,31.8770832374655,49.8753266039966,33.0512033847156,39.0924812994994,50.2885701797815,41.463398775438,49.3193401053712,35.6875795150869,66.2860064058668,39.2461613538003,39.4321630240841,41.4032870842522,45.9787174630919
"NFYA",35.0916422865699,27.009046055658,30.7884949574159,21.5983851900693,29.2233549936196,20.7081773099365,25.0864690301766,38.4631376863078,21.4924420947822,31.77997160852,26.4202350842024,18.3943041645353,27.2427802485339,32.6884281671309
