"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"SV2C",43.8631938358259,38.6743917992737,71.7189156137427,46.0919903104129,53.8056808654224,40.3295862197236,98.5988079078191,72.1345244653323,37.6749697486736,48.9117413621886
"PSMA7",218.847206763885,279.123449584886,298.909020520833,474.779226188025,410.152438667152,252.520333051056,356.469596798942,224.377533089028,222.64794323781,191.001176061016
"HTR7P1",28.3873472123448,29.6828232412303,31.4807615080005,22.8183166209174,28.1982915761558,27.2223679794907,24.5057700639473,23.0688881894652,21.1191499940155,24.8534007552803
"PHLDB1",91.4541477801181,80.7231696013766,90.1613398525079,132.017815342819,84.4373130280074,93.9890086151176,109.6293706856,107.256851047878,103.809665107623,117.798596526692
"PTPA",575.0471783091,864.644360354673,768.415812636415,919.163302520873,1086.27683149755,623.406154531922,770.208421055515,819.7446736915,714.379441806844,658.240571700415
"LOC100129503",85.5377681800692,83.5859950662392,95.4394121586768,72.8886273302736,72.0336419658678,87.4522366904932,78.965699355721,82.1784646501998,84.2848027103586,86.3393426752767
"SPEF1",37.2880991767345,76.0065881946072,51.1462931864845,78.1933816065059,59.4511732063884,51.0852247827967,46.9483051147837,41.048798905892,42.3435049091391,35.0396307873829
"LINC00663",33.7902760565162,28.8890269585758,31.2326104219397,37.4356371531316,28.2137061305607,32.9432499732068,47.5304989728617,38.9939464953352,31.2326104219397,42.6745817950621
"MAPK8IP3",29.4518973407004,38.1527956708475,39.2210375568652,41.582412562992,37.0454992533303,36.0848515422149,34.5311458073622,34.391393829905,29.4830318867655,33.9516173671728
"LRRC37BP1",30.5519159357244,34.4429422532934,34.0841693485742,31.8873977875253,35.1087255943473,28.8819938882335,38.7777224715297,31.3364130738176,33.6108389415018,33.2572497045963
"SBNO1",79.3081987433031,50.7632572439857,49.7282190319354,49.2204454066576,45.2476619263526,52.2802039065006,43.8709768929352,63.1992860366401,56.9212435180246,55.0572708171747
"GARNL3",25.5220020723708,21.6762129270174,25.9674901116754,23.9105136405273,21.0871614570739,21.5302480595184,21.2608744347683,22.7977600479429,22.1299550815997,21.1127017885933
"RIMS1",47.2906882885047,39.9144428555,29.914950234169,44.5832906648217,40.1295299941393,55.5414514637674,38.3756468621009,40.88212212306,37.9317133458757,55.4414538022189
"FUT9",17.0468816804688,19.8970863739412,20.8512292945008,18.1698963140723,18.6609704816433,17.0946641743268,16.3396732414015,15.9844061700364,16.4584378152447,15.7029004245411
"LINC00939",41.63908139877,34.0400595027011,37.72683229952,36.6583724509807,40.1874237824765,50.7578949222135,40.9968222476716,40.2061780111257,32.2359109937871,37.8598313211731
"PUM2",2491.01241492819,2516.2567205444,2479.57918342854,2239.27918762716,2521.83978326786,2441.81585018847,2346.71880713106,2291.00156679955,2330.16152468721,2189.61903151259
"CPN2",19.6967123172586,18.4866657736423,19.5253783970501,19.3328433132332,19.4574427115613,20.3785269279736,19.0729337668737,20.919202735612,18.2321217200693,21.6328626367278
"TAF4B",29.2774598698436,36.5528739689622,26.3231045092165,38.9769098433224,26.2786275232816,39.7011872326672,31.190318335023,25.4082862362052,29.8321557499364,32.8220460910209
"TCEA1",1918.53479059509,2722.54180022225,2424.22944180684,2630.87146757897,2609.37944180684,2268.61689938571,3107.97944180684,2176.60103501865,2134.17423720816,2023.86453220013
"PVT1",30.6793603629277,36.728436833303,32.3369412862166,37.7151646409948,33.7662920655146,34.0356938516405,35.2745573458216,36.0862616040501,29.8632957844919,27.993837655672
